year,city,district,address,land_use,price_per_sqm,change_rate,lat,lng
2025,名古屋市天白区,植田,植田三丁目12-8,residential,163000,3.2,35.1225,136.9782
2023,名古屋市瑞穂区,瑞穂通,瑞穂通五丁目2-3,residential,275000,1.8,35.1352,136.9385
2024,名古屋市瑞穂区,瑞穂通,瑞穂通五丁目2-3,residential,283000,2.9,35.1352,136.9385
2025,名古屋市瑞穂区,瑞穂通,瑞穂通五丁目2-3,residential,292000,3.2,35.1352,136.9385
2023,名古屋市熱田区,神宮,神宮二丁目4-6,commercial,520000,2.2,35.1282,136.9065
2024,名古屋市熱田区,神宮,神宮二丁目4-6,commercial,545000,4.8,35.1282,136.9065
2025,名古屋市熱田区,神宮,神宮二丁目4-6,commercial,568000,4.2,35.1282,136.9065
2023,名古屋市中川区,尾頭橋,尾頭橋三丁目1-5,residential,168000,0.8,35.1432,136.8752
2024,名古屋市中川区,尾頭橋,尾頭橋三丁目1-5,residential,172000,2.4,35.1432,136.8752
2025,名古屋市中川区,尾頭橋,尾頭橋三丁目1-5,residential,177000,2.9,35.1432,136.8752
2023,名古屋市北区,黒川,黒川本通四丁目9-2,residential,215000,1.5,35.1982,136.9075
2024,名古屋市北区,黒川,黒川本通四丁目9-2,residential,222000,3.3,35.1982,136.9075
2025,名古屋市北区,黒川,黒川本通四丁目9-2,residential,230000,3.6,35.1982,136.9075
2023,名古屋市西区,浄心,浄心本通三丁目6-4,residential,232000,1.6,35.1852,136.8885
2024,名古屋市西区,浄心,浄心本通三丁目6-4,residential,240000,3.4,35.1852,136.8885
2025,名古屋市西区,浄心,浄心本通三丁目6-4,residential,249000,3.8,35.1852,136.8885
2023,名古屋市南区,道徳,道徳通二丁目7-1,residential,148000,0.3,35.1105,136.8952
2024,名古屋市南区,道徳,道徳通二丁目7-1,residential,150000,1.4,35.1105,136.8952
2025,名古屋市南区,道徳,道徳通二丁目7-1,residential,154000,2.7,35.1105,136.8952
2023,名古屋市守山区,小幡,小幡中二丁目3-9,residential,142000,0.9,35.2052,136.9632
2024,名古屋市守山区,小幡,小幡中二丁目3-9,residential,145000,2.1,35.2052,136.9632
2025,名古屋市守山区,小幡,小幡中二丁目3-9,residential,149000,2.8,35.2052,136.9632
2021,豊田市,挙母,挙母町一丁目15-3,commercial,320000,0.8,35.0832,137.1565
2022,豊田市,挙母,挙母町一丁目15-3,commercial,325000,1.6,35.0832,137.1565
2023,豊田市,挙母,挙母町一丁目15-3,commercial,335000,3.1,35.0832,137.1565
2024,豊田市,挙母,挙母町一丁目15-3,commercial,348000,3.9,35.0832,137.1565
2025,豊田市,挙母,挙母町一丁目15-3,commercial,362000,4.0,35.0832,137.1565
2023,豊田市,美里,美里五丁目8-2,residential,108000,0.5,35.0625,137.1412
2025,豊田市,美里,美里五丁目8-2,residential,113000,2.3,35.0625,137.1412
2023,岡崎市,康生,康生通西三丁目2-7,commercial,245000,1.2,34.9575,137.1752
2024,岡崎市,康生,康生通西三丁目2-7,commercial,252000,2.9,34.9575,137.1752
2025,岡崎市,康生,康生通西三丁目2-7,commercial,261000,3.6,34.9575,137.1752
2023,一宮市,栄,栄一丁目5-8,commercial,198000,0.8,35.3042,136.8032
2024,一宮市,栄,栄一丁目5-8,commercial,202000,2.0,35.3042,136.8032
2025,一宮市,栄,栄一丁目5-8,commercial,208000,3.0,35.3042,136.8032
2023,春日井市,鳥居松,鳥居松町三丁目12-1,residential,135000,0.6,35.2485,136.9715
2024,春日井市,鳥居松,鳥居松町三丁目12-1,residential,138000,2.2,35.2485,136.9715
2025,春日井市,鳥居松,鳥居松町三丁目12-1,residential,142000,2.9,35.2485,136.9715
2023,豊橋市,駅前,駅前大通一丁目6-2,commercial,215000,0.5,34.7635,137.3832
2024,豊橋市,駅前,駅前大通一丁目6-2,commercial,219000,1.9,34.7635,137.3832
2025,豊橋市,駅前,駅前大通一丁目6-2,commercial,225000,2.7,34.7635,137.3832
2023,安城市,三河安城,三河安城町一丁目3-5,residential,125000,1.2,34.9525,137.0832
2024,安城市,三河安城,三河安城町一丁目3-5,residential,129000,3.2,34.9525,137.0832
2025,安城市,三河安城,三河安城町一丁目3-5,residential,134000,3.9,34.9525,137.0832
2023,刈谷市,刈谷,刈谷市相生町二丁目1-4,commercial,285000,1.5,34.9892,137.0012
2024,刈谷市,刈谷,刈谷市相生町二丁目1-4,commercial,296000,3.9,34.9892,137.0012
2025,刈谷市,刈谷,刈谷市相生町二丁目1-4,commercial,310000,4.7,34.9892,137.0012
2023,小牧市,小牧,小牧三丁目7-2,residential,112000,0.4,35.2912,136.9182
2024,小牧市,小牧,小牧三丁目7-2,residential,114000,1.8,35.2912,136.9182
2025,小牧市,小牧,小牧三丁目7-2,residential,117000,2.6,35.2912,136.9182
