city,district,neighborhood,population,households,pop_density_sqkm,avg_age,child_ratio,elderly_ratio,daytime_pop_ratio
名古屋市中村区,名駅,笹島町,350,230,25800,37.5,0.04,0.11,4.9
名古屋市中区,栄,久屋大通,420,290,23200,38.2,0.05,0.12,4.7
名古屋市中区,新栄,新栄1丁目,2650,1520,13500,42.8,0.09,0.21,2.4
名古屋市中区,新栄,新栄2丁目,2900,1680,12800,43.2,0.10,0.22,2.1
名古屋市東区,泉,泉2丁目,1450,880,14600,41.5,0.07,0.17,3.5
名古屋市東区,泉,泉3丁目,1820,1080,13800,42.2,0.08,0.19,2.8
名古屋市千種区,池下,池下1丁目,3200,1780,10500,43.5,0.11,0.23,1.2
名古屋市千種区,千種,千種3丁目,2800,1520,11200,44.0,0.12,0.25,1.0
名古屋市昭和区,御器所,御器所通,3500,1850,10800,44.8,0.12,0.26,1.1
名古屋市昭和区,八事,八事本町,2900,1480,9500,46.5,0.11,0.30,0.8
名古屋市瑞穂区,瑞穂,瑞穂通,3800,2020,10200,45.0,0.13,0.27,0.9
名古屋市南区,笠寺,笠寺町,4100,2150,9600,46.8,0.10,0.31,0.8
名古屋市守山区,守山,守山1丁目,4800,2350,7800,45.2,0.14,0.26,0.7
名古屋市名東区,藤が丘,藤が丘,5500,2680,8100,43.5,0.16,0.22,0.8
名古屋市名東区,一社,一社1丁目,4200,2050,8800,44.0,0.15,0.24,0.7
豊田市,豊田市駅前,喜多町1丁目,1200,720,12800,41.5,0.08,0.19,3.5
豊田市,豊田市駅前,西町,1850,1050,10500,43.0,0.10,0.22,2.8
豊田市,挙母町,挙母町1丁目,2500,1320,9200,44.5,0.11,0.25,1.5
豊田市,挙母町,挙母町3丁目,2800,1480,8800,45.0,0.12,0.26,1.2
岡崎市,岡崎駅前,羽根町,1600,920,11500,42.8,0.09,0.21,2.6
岡崎市,岡崎駅前,柱町,2200,1180,9800,44.0,0.11,0.24,1.8
岡崎市,康生通,康生通南,1400,780,10200,43.5,0.08,0.23,2.2
岡崎市,康生通,康生通西,1800,980,9500,44.8,0.10,0.26,1.6
一宮市,一宮駅前,栄1丁目,1350,780,11800,42.5,0.09,0.21,2.8
一宮市,一宮駅前,新生1丁目,1800,1020,10500,43.8,0.10,0.24,2.2
一宮市,栄,栄4丁目,2500,1350,9200,44.5,0.12,0.26,1.3
春日井市,春日井駅前,松新町,1600,920,10800,43.0,0.10,0.22,2.4
春日井市,春日井駅前,上条町,2800,1480,8500,44.8,0.13,0.25,1.0
春日井市,勝川,勝川町,3200,1720,9200,43.5,0.14,0.23,1.2
春日井市,勝川,勝川新町,4500,2250,7800,42.0,0.17,0.20,0.9
豊橋市,豊橋駅前,駅前大通1丁目,980,580,13500,41.8,0.07,0.18,3.2
豊橋市,豊橋駅前,花田町,1450,820,11200,43.2,0.09,0.22,2.5
豊橋市,広小路,広小路1丁目,1200,680,10800,42.5,0.08,0.20,2.8
豊橋市,広小路,広小路3丁目,1800,1020,9500,44.0,0.11,0.24,1.5
