year,quarter,city,district,property_type,area_sqm,price_total,price_per_sqm,building_year,structure,use
2022,Q4,長久手市,長久手,residential,195,42900000,220000,2020,木造,戸建住宅
2023,Q1,名古屋市中区,伏見,office,170,340000000,2000000,2018,SRC,事務所
2023,Q2,名古屋市中区,大須,commercial,70,133000000,1900000,2021,SRC,店舗
2023,Q3,名古屋市昭和区,八事,residential,140,91000000,650000,2023,RC,共同住宅
2023,Q4,名古屋市千種区,今池,commercial,85,55250000,650000,2020,RC,店舗
2023,Q4,長久手市,長久手,residential,185,44400000,240000,2022,木造,戸建住宅
2024,Q1,名古屋市中区,伏見,office,150,315000000,2100000,2022,SRC,事務所
2024,Q2,名古屋市中区,大須,commercial,60,126000000,2100000,2022,SRC,店舗
2024,Q3,名古屋市昭和区,八事,residential,130,91000000,700000,2022,RC,共同住宅
2024,Q4,名古屋市千種区,今池,commercial,75,58500000,780000,2022,RC,店舗
2024,Q4,長久手市,長久手,residential,190,49400000,260000,2023,木造,戸建住宅
2025,Q1,名古屋市中区,伏見,office,160,352000000,2200000,2024,SRC,事務所
2025,Q2,名古屋市中区,大須,commercial,65,143000000,2200000,2023,SRC,店舗
2025,Q1,名古屋市昭和区,八事,residential,125,93750000,750000,2024,RC,共同住宅
2025,Q2,名古屋市千種区,今池,commercial,70,63000000,900000,2023,RC,店舗
2025,Q1,長久手市,長久手,residential,180,52200000,290000,2024,木造,戸建住宅
2020,Q2,常滑市,セントレア,commercial,200,36000000,180000,2005,S,店舗・倉庫
2022,Q3,常滑市,セントレア,logistics,600,108000000,180000,2015,S,倉庫・物流
2024,Q1,常滑市,セントレア,logistics,800,160000000,200000,2020,S,倉庫・物流
2025,Q1,常滑市,セントレア,commercial,150,36000000,240000,2022,RC,店舗
2020,Q3,知多市,知多,residential,190,17100000,90000,2002,木造,戸建住宅
2023,Q2,知多市,知多,residential,180,21600000,120000,2015,木造,戸建住宅
2025,Q1,知多市,知多,residential,175,24500000,140000,2020,木造,戸建住宅
2020,Q1,半田市,半田,commercial,90,19800000,220000,2008,RC,店舗
2022,Q4,半田市,半田,commercial,85,21250000,250000,2015,RC,店舗
2024,Q3,半田市,半田,commercial,80,24000000,300000,2020,RC,店舗
2020,Q2,西尾市,西尾,residential,185,16650000,90000,2000,木造,戸建住宅
2022,Q1,西尾市,西尾,residential,175,19250000,110000,2010,木造,戸建住宅
2024,Q2,西尾市,西尾,residential,170,22100000,130000,2018,木造,戸建住宅
